award_unique_key|award_id_fain|federal_action_obligation|total_obligated_amount|transaction_description|prime_award_base_transaction_description|action_date|awarding_agency_name|awarding_sub_agency_name|recipient_name|recipient_parent_name|recipient_country_name|primary_place_of_performance_country_name|subaward_number|subaward_amount|subaward_action_date|subaward_type|subaward_description|subawardee_name|subawardee_country_name
ASST_NON_720BHA24GR00008_7200|720BHA24GR00008|2000000.00|2000000.00|THIS AWARD WILL PROVIDE FINANCIAL SUPPORT TO CARITAS BRASILEIRA FOR A PROGRAM ENTITLED, SUMAUMA: NOURISHING LIVES” IN   BRAZIL. THE GOAL IS VULNERABLE VENEZUELAN MIGRANTS AND REFUGEES IN BRAZIL ARE ABLE TO MEET THEIR IMMEDIATE FOOD   NEEDS. THE TOTAL NUMBER OF BENEFICIARIES THAT WILL BE SUPPORTED UNDER THIS AWARD IS 13,000.|THIS AWARD WILL PROVIDE FINANCIAL SUPPORT TO CARITAS BRASILEIRA FOR A PROGRAM ENTITLED, SUMAUMA: NOURISHING LIVES” IN   BRAZIL. THE GOAL IS VULNERABLE VENEZUELAN MIGRANTS AND REFUGEES IN BRAZIL ARE ABLE TO MEET THEIR IMMEDIATE FOOD   NEEDS. THE TOTAL NUMBER OF BENEFICIARIES THAT WILL BE SUPPORTED UNDER THIS AWARD IS 13,000.|2023-12-22|Agency for International Development|Agency for International Development|CARITAS BRASILEIRA||BRAZIL|BRAZIL|||||||
ASST_NON_BO528_1143|BO528|60000.00|331500.00|YOUNG PEOPLE IN THE GUARANÍ TERRITORIES OF CHARAGUA AND GUTIÉRREZ HAVE LIMITED KNOWLEDGE ABOUT THEIR CONSTITUTIONAL RIGHTS. FUNDACION CENTRO ARAKUAARENDA (ARAKUAARENDA) CREATES LOCAL AND REGIONAL ORGANIZATIONS THAT REINFORCE COMMUNITY IDENTITY ENCOURAGE YOUNG PEOPLE TO ARTICULATE THEIR NEEDS AND PROMOTE PROPOSALS FOR INCLUSION IN THEIR COMMUNITIES. AT THE IAF WE SUPPORT COMMUNITY-LED SOLUTIONS TO STRENGTHEN GOVERNANCE IN BOLIVIA. ARAKUAARENDA'S ACTIVITIES STRENGTHEN COMMUNITIES THROUGH EDUCATION AND TRAINING AND BUILD PEER-TO-PEER LEARNING AND ACTION NETWORKS. AMENDMENT FY18:  YOUNG PEOPLE IN BOLIVIA FACE BARRIERS TO PLAY A MORE ACTIVE ROLE AND PARTICIPATE IN LOCAL DECISION- MAKING. FUNDACIÓN CENTRO ARAKUAARENDA (ARAKUAARENDA) IS WORKING TO STRENGTHEN YOUTH CULTURAL IDENTITY AND LEADERSHIP CAPACITY TO PARTICIPATE IN CIVIC PROCESSES THAT PROMOTE ECONOMIC OPPORTUNITIES, TRANSPARENCY AND GOVERNANCE IN THEIR LOCAL MUNICIPALITIES. AT THE IAF, WE SUPPORT COMMUNITY-LED SOLUTIONS TO STRENGTHEN LOCAL GOVERNANCE AND UNLOCK PRIVATE, PUBLIC AND COMMUNITY RESOURCES FOR GRASSROOTS DEVELOPMENT. ARAKUAARENDA’S ACTIVITIES SUPPORT EXCLUDED COMMUNITIES SO THEY CAN IMPROVE THEIR LIVING CONDITIONS AND PARTICIPATE EQUALLY IN A NATION’S POLITICAL, ECONOMIC AND SOCIAL LIFE. AMENDMENT FY20:  THIS AMENDMENT PROVIDES FUNDACIÓN CENTRO ARAKUAARENDA (ARAKUAARENDA) WITH AN ADDITIONAL 18 MONTHS AND $80,000 TO STRENGTHEN GUARANI YOUTH PARTICIPATION AND LEADERSHIP IN LOCAL GOVERNMENT DECISION MAKING, RESULTING IN GREATER INCLUSION, TRANSPARENCY, AND DEMOCRACY. GRANT ACTIVITIES WILL HELP FOSTER DIALOGUE AND UNDERSTANDING AMONG YOUTH FROM DIFFERENT CULTURES AND TRADITIONS WHO LIVE SIDE-BY-SIDE. AS PART OF THE AMENDMENT, ARAKUAARENDA IS MOBILIZING AN ADDITIONAL $159,720 IN COUNTERPART RESOURCES TO THE GRANT AGREEMENT. AMENDMENT FY22:   THIS AMENDMENT PROVIDES FUNDACION CENTRO ARAKUAARENDA (ARAKUAARENDA) 18 MONTHS AND $109,000 TO REINFORCE THE FOOD SECURITY OF INDIGENOUS COMMUNITIES THAT HAVE BEEN AFFECTED BY SHORTAGES DUE TO THE PANDEMIC. IT WILL ALSO PROVIDE EDUCATION, TRAINING, AND PEER-TO-PEER LEARNING OPPORTUNITIES TO SUPPORT YOUTH LEADERSHIP, ECONOMIC DEVELOPMENT, AND DEMOCRATIC GOVERNANCE IN THE GUARANÍ TERRITORIES OF CHARAGUA AND GUTIÉRREZ. ARAKUAARENDA IS MOBILIZING AN ADDITIONAL $208,351 IN COUNTERPART RESOURCES TO THE GRANT AGREEMENT. AMENDMENT FY24:  THIS AMENDMENT PROVIDES FUNDACION CENTRO ARAKUAARENDA (ARAKUAARENDA) WITH AN ADDITIONAL 12 MONTHS AND $60,000 FOR GUARANI YOUTH LEADERS  TO DOCUMENT AND DISSEMINATE THE KNOWLEDGE AND EXPERIENCES FROM THE GRANTEE’S YOUTH LEADERSHIP TRAINING PROGRAM. ARAKUAARENDA IS ALSO CAPTURING INSIGHTS REGARDING WORK IN CRUCIAL AREAS SUCH AS ECONOMIC DEVELOPMENT, HEALTH, EDUCATION, AND CULTURE WITH OTHER GUARANI AND INDIGENOUS COMMUNITIES ACROSS BOLIVIA, ARGENTINA, BRAZIL, AND PARAGUAY. FINALLY, THE ORGANIZATION IS DEVELOPING AN EDUCATIONAL PROGRAM FOCUSED ON LOCAL DEVELOPMENT WITHIN GUARANI CULTURE, AND ESTABLISHING A CROSS-BORDER COMMUNICATION NETWORK FOR YOUNG INDIGENOUS JOURNALISTS IN PARAGUAY AND BOLIVIA. AS PART OF THIS AMENDMENT, ARAKUAARENDA IS MOBILIZING AN ADDITIONAL $68,846 IN COUNTERPART RESOURCES TO THE GRANT AGREEMENT.|YOUNG PEOPLE IN THE GUARANÍ TERRITORIES OF CHARAGUA AND GUTIÉRREZ HAVE LIMITED KNOWLEDGE ABOUT THEIR CONSTITUTIONAL RIGHTS. FUNDACION CENTRO ARAKUAARENDA (ARAKUAARENDA) CREATES LOCAL AND REGIONAL ORGANIZATIONS THAT REINFORCE COMMUNITY IDENTITY ENCOURAGE YOUNG PEOPLE TO ARTICULATE THEIR NEEDS AND PROMOTE PROPOSALS FOR INCLUSION IN THEIR COMMUNITIES. AT THE IAF WE SUPPORT COMMUNITY-LED SOLUTIONS TO STRENGTHEN GOVERNANCE IN BOLIVIA. ARAKUAARENDA'S ACTIVITIES STRENGTHEN COMMUNITIES THROUGH EDUCATION AND TRAINING AND BUILD PEER-TO-PEER LEARNING AND ACTION NETWORKS. AMENDMENT FY18:  YOUNG PEOPLE IN BOLIVIA FACE BARRIERS TO PLAY A MORE ACTIVE ROLE AND PARTICIPATE IN LOCAL DECISION- MAKING. FUNDACIÓN CENTRO ARAKUAARENDA (ARAKUAARENDA) IS WORKING TO STRENGTHEN YOUTH CULTURAL IDENTITY AND LEADERSHIP CAPACITY TO PARTICIPATE IN CIVIC PROCESSES THAT PROMOTE ECONOMIC OPPORTUNITIES, TRANSPARENCY AND GOVERNANCE IN THEIR LOCAL MUNICIPALITIES. AT THE IAF, WE SUPPORT COMMUNITY-LED SOLUTIONS TO STRENGTHEN LOCAL GOVERNANCE AND UNLOCK PRIVATE, PUBLIC AND COMMUNITY RESOURCES FOR GRASSROOTS DEVELOPMENT. ARAKUAARENDA’S ACTIVITIES SUPPORT EXCLUDED COMMUNITIES SO THEY CAN IMPROVE THEIR LIVING CONDITIONS AND PARTICIPATE EQUALLY IN A NATION’S POLITICAL, ECONOMIC AND SOCIAL LIFE. AMENDMENT FY20:  THIS AMENDMENT PROVIDES FUNDACIÓN CENTRO ARAKUAARENDA (ARAKUAARENDA) WITH AN ADDITIONAL 18 MONTHS AND $80,000 TO STRENGTHEN GUARANI YOUTH PARTICIPATION AND LEADERSHIP IN LOCAL GOVERNMENT DECISION MAKING, RESULTING IN GREATER INCLUSION, TRANSPARENCY, AND DEMOCRACY. GRANT ACTIVITIES WILL HELP FOSTER DIALOGUE AND UNDERSTANDING AMONG YOUTH FROM DIFFERENT CULTURES AND TRADITIONS WHO LIVE SIDE-BY-SIDE. AS PART OF THE AMENDMENT, ARAKUAARENDA IS MOBILIZING AN ADDITIONAL $159,720 IN COUNTERPART RESOURCES TO THE GRANT AGREEMENT. AMENDMENT FY22:   THIS AMENDMENT PROVIDES FUNDACION CENTRO ARAKUAARENDA (ARAKUAARENDA) 18 MONTHS AND $109,000 TO REINFORCE THE FOOD SECURITY OF INDIGENOUS COMMUNITIES THAT HAVE BEEN AFFECTED BY SHORTAGES DUE TO THE PANDEMIC. IT WILL ALSO PROVIDE EDUCATION, TRAINING, AND PEER-TO-PEER LEARNING OPPORTUNITIES TO SUPPORT YOUTH LEADERSHIP, ECONOMIC DEVELOPMENT, AND DEMOCRATIC GOVERNANCE IN THE GUARANÍ TERRITORIES OF CHARAGUA AND GUTIÉRREZ. ARAKUAARENDA IS MOBILIZING AN ADDITIONAL $208,351 IN COUNTERPART RESOURCES TO THE GRANT AGREEMENT. AMENDMENT FY24:  THIS AMENDMENT PROVIDES FUNDACION CENTRO ARAKUAARENDA (ARAKUAARENDA) WITH AN ADDITIONAL 12 MONTHS AND $60,000 FOR GUARANI YOUTH LEADERS  TO DOCUMENT AND DISSEMINATE THE KNOWLEDGE AND EXPERIENCES FROM THE GRANTEE’S YOUTH LEADERSHIP TRAINING PROGRAM. ARAKUAARENDA IS ALSO CAPTURING INSIGHTS REGARDING WORK IN CRUCIAL AREAS SUCH AS ECONOMIC DEVELOPMENT, HEALTH, EDUCATION, AND CULTURE WITH OTHER GUARANI AND INDIGENOUS COMMUNITIES ACROSS BOLIVIA, ARGENTINA, BRAZIL, AND PARAGUAY. FINALLY, THE ORGANIZATION IS DEVELOPING AN EDUCATIONAL PROGRAM FOCUSED ON LOCAL DEVELOPMENT WITHIN GUARANI CULTURE, AND ESTABLISHING A CROSS-BORDER COMMUNICATION NETWORK FOR YOUNG INDIGENOUS JOURNALISTS IN PARAGUAY AND BOLIVIA. AS PART OF THIS AMENDMENT, ARAKUAARENDA IS MOBILIZING AN ADDITIONAL $68,846 IN COUNTERPART RESOURCES TO THE GRANT AGREEMENT.|2024-09-11|Inter-American Foundation|Inter-American Foundation|FUNDACION CENTRO ARAKUAARENDA||BOLIVIA|BOLIVIA|||||||
ASST_NON_SBR25016GR0083_1900|SBR25016GR0083|95306.00|95306.00|PROVIDE OPPORTUNITY FOR BRAZILIAN JOURNALISTS TO PARTICIPATE IN THE ELECTIONS NIGHT REPORTING TOUR|PROVIDE OPPORTUNITY FOR BRAZILIAN JOURNALISTS TO PARTICIPATE IN THE ELECTIONS NIGHT REPORTING TOUR|2016-09-28|Department of State|Department of State|GLOBAL TIES U.S.|||BRAZIL|||||||
ASST_NON_SBR25017GR0055_1900|SBR25017GR0055|100000.00|84636.57|SCIENCE OF SCIENTIFIC COMMUNICATION WORKSHOP: 2-DAY EVENT FOR BRAZILIAN MEDIA PRACTITIONERS ON STRATEGIES TO ACCESS, INTERPRET AND REPORT HEALTH DATA|SCIENCE OF SCIENTIFIC COMMUNICATION WORKSHOP: 2-DAY EVENT FOR BRAZILIAN MEDIA PRACTITIONERS ON STRATEGIES TO ACCESS, INTERPRET AND REPORT HEALTH DATA|2017-09-28|Department of State|Department of State|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25018GR0066_1900|SBR25018GR0066|52520.00|50563.17|TO IMPLEMENT IMPROVEMENTS ON TECHNOLOGY, MEDIA AND LOOK & FEEL, AND RUN STRATEGIC PROGRAMS AT SEVEN BNCS.|TO IMPLEMENT IMPROVEMENTS ON TECHNOLOGY, MEDIA AND LOOK & FEEL, AND RUN STRATEGIC PROGRAMS AT SEVEN BNCS.|2018-09-28|Department of State|Department of State|COLIGACAO DAS ENTIDADES DE EDUCACAO E CULTURA BRASIL - ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0043_1900|SBR25019GR0043|24850.00|24850.00|TO IDENTIFY AND SEND FIVE BRAZILIAN EDUCATORS TO THE MEDIA EDUCATION LABS SUMMER INSTITUTE IN DIGITAL LITERACY IN RHODE ISLAND.|TO IDENTIFY AND SEND FIVE BRAZILIAN EDUCATORS TO THE MEDIA EDUCATION LABS SUMMER INSTITUTE IN DIGITAL LITERACY IN RHODE ISLAND.|2019-07-08|Department of State|Department of State|MISCELLANEOUS FOREIGN AWARDEES||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0068_1900|SBR25019GR0068|99630.00|93004.97|ORGANIZE A TECH CAMP TO BUILD A NETWORK OF MEDIA LITERACY EXPERTS ABLE TO REACH NEW AUDIENCES|ORGANIZE A TECH CAMP TO BUILD A NETWORK OF MEDIA LITERACY EXPERTS ABLE TO REACH NEW AUDIENCES|2019-09-26|Department of State|Department of State|INSTITUTO PALAVRA ABERTA||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0094_1900|SBR25019GR0094|61796.00|61796.00|IMPROVEMENTS ON TECHNOLOGY, MEDIA, AND LOOK AND FEEL IN SIX BINATIONAL CENTERS, TO RUN STRATEGIC PROGRAMMING IN STEM AND FOSTER 21ST CENTURY SKILLS|IMPROVEMENTS ON TECHNOLOGY, MEDIA, AND LOOK AND FEEL IN SIX BINATIONAL CENTERS, TO RUN STRATEGIC PROGRAMMING IN STEM AND FOSTER 21ST CENTURY SKILLS|2019-09-25|Department of State|Department of State|COLIGACAO DAS ENTIDADES DE EDUCACAO E CULTURA BRASIL - ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0102_1900|SBR25019GR0102|0.00|150000.00|DUE TO THE COVID-19 PANDEMIC, AGENCIA LUPA HAS REORGANIZED THE SCHEDULE TO INCLUDED NEW ACTIVITIES AND THE TRIP OF SELECTED PARTICIPANTS.|DUE TO THE COVID-19 PANDEMIC, AGENCIA LUPA HAS REORGANIZED THE SCHEDULE TO INCLUDED NEW ACTIVITIES AND THE TRIP OF SELECTED PARTICIPANTS.|2020-09-04|Department of State|Department of State|AGENCIA DE JORNALISMO E CHECAGEM LUPA S/A||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0102_1900|SBR25019GR0102|0.00|150000.00|GRANTEE WILL DEVELOP AND IMPLEMENT A WORKSHOP IN THE U.S. CONSULATE IN RIO PRIOR TO THE TRIP TO THE UNITED STATES. IN ADDITION TO IT, THE GRANTEE WISHES TO SEND TWO STAFF MEMBERS WITH THE FINALISTS TO THE FINAL PART OF THE PROGRAM.|GRANTEE WILL DEVELOP AND IMPLEMENT A WORKSHOP IN THE U.S. CONSULATE IN RIO PRIOR TO THE TRIP TO THE UNITED STATES. IN ADDITION TO IT, THE GRANTEE WISHES TO SEND TWO STAFF MEMBERS WITH THE FINALISTS TO THE FINAL PART OF THE PROGRAM.|2022-06-15|Department of State|Department of State|AGENCIA DE JORNALISMO E CHECAGEM LUPA S/A||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0102_1900|SBR25019GR0102|0.00|150000.00|TO EXTEND THE PERIOD OF PERFORMANCE DUE TO COVID-19 PANDEMIC. PARTICIPANTS WILL NEED TO RESCHEDULE THEIR TRAVEL.|TO EXTEND THE PERIOD OF PERFORMANCE DUE TO COVID-19 PANDEMIC. PARTICIPANTS WILL NEED TO RESCHEDULE THEIR TRAVEL.|2021-08-04|Department of State|Department of State|AGENCIA DE JORNALISMO E CHECAGEM LUPA S/A||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0102_1900|SBR25019GR0102|150000.00|150000.00|TO COVER COSTS OF THE YEAR LONG PROGRAM TO BE PROVIDED BY AGENCIA LUPA TO DEVELOP JOURNALISTS, STUDENTS, AND JOURNALISM TEACHERS IN FACT CHECKING|TO COVER COSTS OF THE YEAR LONG PROGRAM TO BE PROVIDED BY AGENCIA LUPA TO DEVELOP JOURNALISTS, STUDENTS, AND JOURNALISM TEACHERS IN FACT CHECKING|2019-09-27|Department of State|Department of State|MISCELLANEOUS FOREIGN AWARDEES||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0030_1900|SBR25020GR0030|18920.00|18920.00|THE PROJECT WILL PRODUCE TWO INFORMATIONAL PRODUCTS TO FIGHT COVID-19 DISINFORMATION DURING FOUR MONTHS|THE PROJECT WILL PRODUCE TWO INFORMATIONAL PRODUCTS TO FIGHT COVID-19 DISINFORMATION DURING FOUR MONTHS|2020-09-22|Department of State|Department of State|ASSOCIACAO MURAL AGENCIA DE JORNALISMO DAS PERIFERIAS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0035_1900|SBR25020GR0035|15055.00|15055.00|ENHANCE STRATEGIC PROGRAMING IN THE AREAS OF STEAM, ENTREPRENEURSHIP, MEDIA LITERACY AND HUMAN RIGHTS TO STUDENTS AND UNDERPRIVILEGED GROUPS|ENHANCE STRATEGIC PROGRAMING IN THE AREAS OF STEAM, ENTREPRENEURSHIP, MEDIA LITERACY AND HUMAN RIGHTS TO STUDENTS AND UNDERPRIVILEGED GROUPS|2020-09-28|Department of State|Department of State|ASSOCIACAO CULTURAL BRASIL ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0056_1900|SBR25020GR0056|4320.00|4320.00|ENHANCE AMERICAN CORNER STRATEGIC PROGRAMMING IN COUNTERING DISINFORMATION, STEAM AND ENTREPRENEURSHIP, AND INCREASE PROGRAMS ON EDUCATIONUSA|ENHANCE AMERICAN CORNER STRATEGIC PROGRAMMING IN COUNTERING DISINFORMATION, STEAM AND ENTREPRENEURSHIP, AND INCREASE PROGRAMS ON EDUCATIONUSA|2020-09-28|Department of State|Department of State|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3075_1900|SBR25021GR3075|8700.00|8700.00|TO ADVANCE ON DIGITAL TRANSFORMATION, DEVELOP A MEDIA EDUCATION PROJECT FOR YOUTH AND ENGAGE WITH STUDENTS VIRTUALLY BY MODERNIZING THE STUDIO.|TO ADVANCE ON DIGITAL TRANSFORMATION, DEVELOP A MEDIA EDUCATION PROJECT FOR YOUTH AND ENGAGE WITH STUDENTS VIRTUALLY BY MODERNIZING THE STUDIO.|2021-09-14|Department of State|Department of State|ASSOCIACAO CULTURAL BRASIL ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
