,award_unique_key,award_id_fain,federal_action_obligation,total_obligated_amount,transaction_description,prime_award_base_transaction_description,action_date,awarding_agency_name,awarding_sub_agency_name,recipient_name,recipient_parent_name,recipient_country_name,primary_place_of_performance_country_name,subaward_number,subaward_amount,subaward_action_date,subaward_type,subaward_description,subawardee_name,subawardee_country_name,year,year_quarter
452,ASST_NON_SBR25018IN0042_1900,SBR25018IN0042,-2900.0,26100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-04-16,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q2
552,ASST_NON_SBR25019IN0001_1900,SBR25019IN0001,0.0,5300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-05-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q2
1012,ASST_NON_SBR82019IN0008_1900,SBR82019IN0008,0.0,4500.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-07-01,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q3
671,ASST_NON_SBR25020IN0027_1900,SBR25020IN0027,0.0,22470.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-07-28,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q3
1217,ASST_NON_SBR93021IN3009_1900,SBR93021IN3009,9460.0,9460.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-09-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q3
1215,ASST_NON_SBR93021IN3007_1900,SBR93021IN3007,7221.0,7221.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-09-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q3
1046,ASST_NON_SBR82021IN3007_1900,SBR82021IN3007,19282.0,19282.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-09-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q3
1047,ASST_NON_SBR82021IN3013_1900,SBR82021IN3013,14000.0,14000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2021-09-22,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2021,2021Q3
1216,ASST_NON_SBR93021IN3009_1900,SBR93021IN3009,0.0,9460.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-03-18,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q1
810,ASST_NON_SBR25022IN0007_1900,SBR25022IN0007,35.0,35.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-04-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
809,ASST_NON_SBR25022IN0006_1900,SBR25022IN0006,20000.0,20000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-04-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
673,ASST_NON_SBR25020IN0028_1900,SBR25020IN0028,-25000.0,0.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-05-24,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
940,ASST_NON_SBR72022IN0001_1900,SBR72022IN0001,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-06-02,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
811,ASST_NON_SBR25022IN0010_1900,SBR25022IN0010,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-06-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
1235,ASST_NON_SBR93022IN0004_1900,SBR93022IN0004,2000.0,2000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-06-14,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
813,ASST_NON_SBR25022IN0015_1900,SBR25022IN0015,35.0,35.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-06-24,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
812,ASST_NON_SBR25022IN0014_1900,SBR25022IN0014,80.0,80.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-06-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q2
1060,ASST_NON_SBR82022IN0001_1900,SBR82022IN0001,14490.0,14490.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-09-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q3
987,ASST_NON_SBR81022IN0008_1900,SBR81022IN0008,3000.0,3000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-09-23,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q3
986,ASST_NON_SBR81022IN0007_1900,SBR81022IN0007,3000.0,3000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-09-23,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q3
1062,ASST_NON_SBR82022IN0011_1900,SBR82022IN0011,2980.0,2980.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q3
1236,ASST_NON_SBR93022IN0016_1900,SBR93022IN0016,28665.0,28665.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-09-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q3
814,ASST_NON_SBR25022IN0034_1900,SBR25022IN0034,25000.0,25000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-09-28,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q3
1061,ASST_NON_SBR82022IN0011_1900,SBR82022IN0011,0.0,2980.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2022-12-22,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2022,2022Q4
1252,ASST_NON_SBR93023IN0001_1900,SBR93023IN0001,1781.0,1781.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-03-01,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q1
1253,ASST_NON_SBR93023IN0002_1900,SBR93023IN0002,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-03-02,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q1
1251,ASST_NON_SBR93023IN0001_1900,SBR93023IN0001,0.0,1781.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-03-06,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q1
1255,ASST_NON_SBR93023IN0003_1900,SBR93023IN0003,1911.0,1911.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-03-17,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q1
1256,ASST_NON_SBR93023IN0004_1900,SBR93023IN0004,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-03-28,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q1
990,ASST_NON_SBR81023IN0001_1900,SBR81023IN0001,2020.0,2020.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-03-30,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q1
870,ASST_NON_SBR25023IN0005_1900,SBR25023IN0005,2070.0,2070.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-03-30,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q1
989,ASST_NON_SBR81023IN0001_1900,SBR81023IN0001,0.0,2020.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-03,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
869,ASST_NON_SBR25023IN0005_1900,SBR25023IN0005,0.0,2070.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-05,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
872,ASST_NON_SBR25023IN0006_1900,SBR25023IN0006,2070.0,2070.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-05,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1254,ASST_NON_SBR93023IN0003_1900,SBR93023IN0003,0.0,1911.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-05,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
871,ASST_NON_SBR25023IN0006_1900,SBR25023IN0006,0.0,2070.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-06,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
873,ASST_NON_SBR25023IN0007_1900,SBR25023IN0007,5000.0,5000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-12,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
874,ASST_NON_SBR25023IN0009_1900,SBR25023IN0009,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-12,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
875,ASST_NON_SBR25023IN0010_1900,SBR25023IN0010,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-12,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1076,ASST_NON_SBR82023IN0004_1900,SBR82023IN0004,1392.85,1392.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-14,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1073,ASST_NON_SBR82023IN0003_1900,SBR82023IN0003,1392.85,1392.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-14,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1070,ASST_NON_SBR82023IN0002_1900,SBR82023IN0002,1224.85,1224.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-17,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
991,ASST_NON_SBR81023IN0002_1900,SBR81023IN0002,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-17,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1071,ASST_NON_SBR82023IN0003_1900,SBR82023IN0003,0.0,1392.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-18,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1074,ASST_NON_SBR82023IN0004_1900,SBR82023IN0004,0.0,1392.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-18,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1072,ASST_NON_SBR82023IN0003_1900,SBR82023IN0003,0.0,1392.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1069,ASST_NON_SBR82023IN0002_1900,SBR82023IN0002,0.0,1224.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
1075,ASST_NON_SBR82023IN0004_1900,SBR82023IN0004,0.0,1392.85,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-04-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
878,ASST_NON_SBR25023IN0018_1900,SBR25023IN0018,358.25,500.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-06-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
876,ASST_NON_SBR25023IN0018_1900,SBR25023IN0018,0.0,500.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-06-09,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
877,ASST_NON_SBR25023IN0018_1900,SBR25023IN0018,141.75,500.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-06-14,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q2
944,ASST_NON_SBR72023IN0002_1900,SBR72023IN0002,434.0,434.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-08-28,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q3
879,ASST_NON_SBR25023IN0028_1900,SBR25023IN0028,35000.0,35000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q3
1077,ASST_NON_SBR82023IN0013_1900,SBR82023IN0013,5000.0,5000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-09-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q3
919,ASST_NON_SBR25024IN0006_1900,SBR25024IN0006,882.0,882.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-04-03,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q2
920,ASST_NON_SBR25024IN0009_1900,SBR25024IN0009,500.0,500.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-05-02,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,UNITED STATES,,,,,,,,2024,2024Q2
1377,ASST_NON_SPM07024IN0029_1900,SPM07024IN0029,24850.0,24850.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-07-09,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,PANAMA,,,,,,,,2024,2024Q3
921,ASST_NON_SBR25024IN0014_1900,SBR25024IN0014,700.0,700.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-07-17,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1088,ASST_NON_SBR82024IN0008_1900,SBR82024IN0008,34619.0,34619.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-05,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1089,ASST_NON_SBR82024IN0016_1900,SBR82024IN0016,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
922,ASST_NON_SBR25024IN0030_1900,SBR25024IN0030,6450.0,6450.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1276,ASST_NON_SBR93024IN0023_1900,SBR93024IN0023,396.0,396.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1275,ASST_NON_SBR93024IN0022_1900,SBR93024IN0022,8000.0,8000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
994,ASST_NON_SBR81025IN0001_1900,SBR81025IN0001,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-12-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q4
